pertanyaan,jawaban,createdAt,cosine,score
Apa itu PWMV ?,Program Pembinaan Mahasiswa Wirausaha P2MW adalah program pengembangan usaha mahasiswa yang telah memiliki usaha. Program ini memberikan bantuan dana pengembangan dan pembinaan dengan melakuk,54:23.3,1,3.63
Kapan KMIPN dilaksanakan?,Kompetisi Mahasiswa Informatika Politeknik Nasional KMIPN VI akan dilaksanakan pada 1ï¿½3 Juli 2024. Pendaftaran dan pengajuan proposal akan dilakukan secara daring pada 22 Maretï¿½13 Mei 2024,54:29.6,1,3.63
Kapan Periode Gemastik dilaksanakan?,"Tahap 1, Pendaftaran Perguruan Tinggi : 12 Mei - 10 Juli 2023 
 khusus Divisi II Keamanan Siber : 12 Mei  7 Juli 2023 
Tahap 2, pendaftaran tim untuk semua divisi lomba : 12 Mei - 10 Juli 2",55:05.3,1,3
Kapan Periode PMW dilakukan?,Pendaftaran Paling Lambat 8 Maret 2024,57:29.7,1,3
Kapan Pendaftaran PMW?,"Sosialisasi : 31 Maret 2023
Pengumpulan Proposal : 17 April 2023
Pengumuman Proposal Lolos Seleksi : 05 Mei 2023
Presentasi Proposal : 08 Mei 2023
Pengumuman Tim Lolos Seleksi : 12 Mei 20",,,
Apa itu Kampus Merdeka?,Kampus Merdeka merupakan kebijakan Menteri Pendidikan dan Kebudayaan Nadiem Makarim yang membebaskan mahasiswa untuk mengikuti kegiatan di luar program studinya selama 1 semester atau setara ,57:41.8,1,3.3
Apa saja program Kampus Merdeka?,"Terdapat program Kampus Merdeka dari Kemendikbud, Kemensos, serta BUMN",57:48.3,1,4.3923
Apa yang dimaksud dengan Badan Eksekutif Mahasiswa (BEM) di PENS?,"Badan Eksekutif Mahasiswa BEM adalah organisasi mahasiswa intra kampus yang merupakan lembaga eksekutif di tingkat Universitas atau Institusi. Dalam melaksanakan program ï¿½ programnya, BEM mem",57:52.2,1,3.63
Apa itu PKM?,Program Kreativitas Mahasiswa PKM adalah program yang bertujuan untuk meningkatkan mutu mahasiswa di perguruan tinggi. PKM diharapkan dapat meningkatkan soft skill dan kompetensi mahasiswa In,57:57.2,1,3.3
Bagaimana cara mendaftar PENS?,"Untuk mendaftar di Politeknik Elektronika Negeri Surabaya (PENS), Anda perlu mengikuti prosedur pendaftaran yang telah ditetapkan oleh lembaga tersebut. Berikut langkah-langkah umum untuk men",58:04.3,1,3.63
Terdapat Jurusan apa saja di PENS?,Politeknik Elektronika Negeri Surabaya (PENS) menawarkan berbagai program studi atau jurusan dalam bidang teknik elektronika dan informatika. Beberapa program studi yang tersedia di PENS anta,58:08.2,1,3.3
Apa yang dimaksud dengan PORSENI di PENS?,PORSENI adalah singkatan dari Pekan Olahraga dan Seni yang merupakan rangkaian kegiatan kompetisi olahraga dan seni antar mahasiswa Politeknik seluruh indonesia,58:16.3,1,3
Cara melihat jadwal Kuliah Secara Online di PENS?,Mahasiswa dapat mengakses melalui online.mis.pens.ac.id,58:21.7,1,3.63
Apa itu PENS?,"PENS adalah singkatan dari Politeknik Elektronika Negeri Surabaya. PENS adalah institusi pendidikan tinggi dengan bidang keahlian yang meliputi Teknik Informatika, Teknik Elektro Industri, Teknik Telekomunikasi, Teknologi Multimedia Broadcasting, dan Teknologi Game. PENS berlokasi di Jalan Raya ITS Keputih Sukolilo Surabaya 60111 Jawa Timur.",58:25.7,1,3.3
Sejarah PENS?,"Awal sejarah PENS dimulai pada tahun 1985. Saat itu, tim studi awal Japan International Cooperation Agency (JICA) untuk bantuan dan kerjasama teknik yang dikepalai oleh Prof. Y. Naito dari Tokyo Institute of Technology, datang ke politeknik ini. Setelah melakukan pengamatan dan studi kelayakan pada tahun 1986, JICA menyetujui untuk memulai kerjasama teknik pada tahun 1987 dengan mengirim 5 orang pengajar Indonesia ke perguruan tinggi teknologi di Jepang.[1]",58:29.9,1,3.993
Fasilitas PENS?,"26 ruang kelas dan lebih dari 44 laboratorium atau studio
Hall
Theater
Auditorium
Perpustakaan (D3 dan D4)
Ruang Sidang
Ruang Virtual Conference
Ruang Tugas Akhir untuk masing-masing j",58:34.9,1,3.63
Himpunan yang ada di PENS?,"HIMAELKA, HIMATELKOM, HIMIT, HIMAELIN, HIMAMMB, HIMAENERGI, dan HMCE",59:47.4,1,3.993
Komunitas yang ada di PENS?,"""PENS Rider"" Komunitas Pengendara Motor
""Janaka"" (Japanese nakama), Komunitas Pecinta Budaya Jepang[30]
Komunitas Tim Medis[31]
Komunitas Debat Bahasa Inggris
Komunitas PENS Reggae
""Game",59:59.3,1,5.8461513
Prestasi PENS di bidang robotika?,"2023
JUARA UMUM KONTES ROBOT INDONESIA 2023
KRI NASIONAL 2023 JUARA 1 KRSTI ( ERISA )
KRI NASIONAL 2023 JUARA 1 KRSBI-B ( ERSOW )
KRI NASIONAL 2023 JUARA 1 KRAI ( EIRA )
KRI NASIONAL 2023 JUARA 3 KRBAI ( EMOSVER )
KRI NASIONAL 2023 JUARA HARAPAN KRSI ( EILERO )
KRI NASIONAL 2023 STRATEGI TERBAIK KRAI ( EIRA )
KRI NASIONAL 2023 DESAIN TERBAIK KRSI ( EILERO )
KRI NASIONAL 2023 UNDERWATER ROBOT PIONEER KRBAI ( EMOSVER )
",00:03.7,1,4.3923
Bagaimana Kegiatan Belajar di PENS?,Politeknik Elektronika Negeri Surabaya merupakan perguruan tinggi politeknik yang meniru gaya pembelajaran Jepang dengan jumlah SKS dan praktikum yang tinggi di setiap semesternya. Untuk seme,00:08.3,1,3
Apa motto dari PENS?,"PENS memiliki Motto JOSS yaitu Jujur,Orisinil, Semangat & Santun",,,
Siapa Direktur PENS yang menjabat sekarang?,"Direktur PENS yang menjabat sekarang adalah  
Aliridho Barakbah, S.Kom., Ph.D.",,,
Dimana saya dapat mengajukan Proposal Kerja Praktek?,Dapat menghubungi Kooridinator Kerja Praktek yang diampu oleh dosen tertentu masing-masing prodi,,,
Apa persyaratan untuk Yudisium dari PENS?,Mengumpulkan berkas E-TEFL yang diselenggarakan oleh PENS serta dokumen Buku TA yang sudah ditanda tangani oleh dosen pembimbing dan Kaprodi.,,,
Siapa Koordinator Program Studi D3 Teknik Informatika PENS?,"Ahmad Syauqi Ahsan, S.Kom., M.T.",,,
Siapa Koordinator Program Studi Sarjana Terapan Sains Data Terapan?,"Isbat Uzzin Nadhori, S.Kom., M.T.",,,
Siapa Koordinator Program Studi Sarja Terapan Teknik Informatika?,"Nur Rosyid Mubtadai, S.Kom., M.T.",,,
Siapa Ketua Jurusan Teknik Informatika dan Komputer?,"Prof. M. Udin Harun Al Rasyid , S.Kom., Ph.D.",,,
Apakah ada Jalur Beasiswa S2 PENS?,"Ada, Dengan komponen biaya yang ditanggung adalah beasiswa uang SPP semester 1 sampai semester 4",,,
Dimana saya dapat Melihat kalender akademik PENS?,untuk kalender akademik pens dapat diakses dari https://www.pens.ac.id/dokumen/#2574-wpfd-kalender-akademik,,,
Apakah PENS ada E-Learning ?,PENS memiliki E-Learning yaiut dapat diakses di ethol.pens.ac.id,,,
Siapa wakil direktur bidang Akademik PENS?,"Dr. Bambang Sumantri, S.T., M.Sc.",,,
Siapa wakil Direkturbidang kemahasiswaan dan Sumber Daya Manusia?,"Dr. Tri Budi Santoso, S.T., M.T.",,,
Bagaimana cara saya untuk memmperbaiki absensi di PENS?,Dapat mengunjungi BAAK dengan menyertakan surat absensi yang dibubuhi tanda tangan oleh dosen pengampu mata kuliah.,,,
Bagaimana untuk mengurus berkas Semester antara?,"Dapat mengunjungi BAAK, lalu jangan lupa mengkonfirmasi kepada Dosen pengampu mata kuliah yang akan ditempuh.",,,
Bagaimana cara untuk mengambil Transkrip Nilai?,"Dapat mengunjungi BAAK, lalu menyertakan Nama dan NRP, File akan dikirimkan berupa softfile melalui Whatsapp",,,
Bagaimana cara mengajukan kegiatan mahasiswa?,"Dapat mengunjungi Kemahasiswaan, dan mengikuti SOP yang Ditentukan, seperti membuat perizinan, pengumpulan proposal.",,,
Apa itu Kegiatan FPC PENS?,"Final Project Competition, Apresiasi PENS untuk Proyek Akhir Mahasiswa. Surabaya, pens.ac.id – Final Project Competition (FPC) merupakan acara yang diselenggarakan oleh Politeknik Elektronika Negeri Surabaya (PENS) untuk mengapresiasi karya proyek akhir para mahasiswa dari seluruh program studi",,,
PENS Akreditasi Apa?,PENS juga menjadi institusi pertama politeknik yang memperoleh akreditasi institusi A dan tercatat sebagai lembaga pendidikan tinggi terbaik seIndonesia pada tahun 2015 untuk manajemen tata kelola perguruan tinggi.,,,
Apakah PENS termasuk PTN?,"PENS terus bergerak mengembangkan diri. Setelah 24 tahun menjadi bagian dari ITS, akhirnya PENS berdiri sebagai perguruan tinggi negeri yang mandiri.",,,
Kapan Pendaftaran PENS 2024 dibuka?,"Tahun 2024 ini, SIMANDIRI PENS diselenggarakan dalam beberapa gelombang. Gelombang 1 dibuka pada 22 April 2024, dengan metode seleksi melalui nilai rapot dan/ atau prestasi. Sementara gelombang 2 dibuka pada 2 Mei 2024, dengan metode seleksi melalui UTBK-Online.",,,
Daftar Direktur PENS,"Susanto (1988-1997)
Ir. Mohammad Nuh, DEA. (1997-2002)
Ir. Titon Dutono, M.Eng. (2002-2009)
Dadet Pramadihanto, M.Eng, Ph.D. (2009-2013)
Dr. Zainal Arief, ST., MT. (2013-2021)
Aliridho Barakbah, S.Kom., Ph.D. (2021-2025)",,,
PENS apakah PTN?,"Saat ini PENS berstatus sebagai PTN Satuan Kerja, dimana pendanaan hanya bersumber dari pemerintah pusat. Sedangkan PTN-BLU, selain medapatkan dana dari pemerintah, juga melakukan usaha atau bisnis sebagai salah satu sumber pendapatan",,,
