question,Alias,answer,,,,
Bagaimana cara mengakses bahan tayang ?,Bagaimana cara mengakses bahan tayang ?;Cara mengakses bahan tayang?;Bisakah saya mengakses bahan tayang?;bahan tayang;adakah cara mengakses bahan tayang?;Apakah bahan tayang bisa diakses?,Anda dapat mengakses bahan ajar pada menu “Bahan Tayang”,,,,
Bagaimana cara melakukan absensi ?,Bagaimana cara melakukan absensi?;Cara melakukan absensi?;Absensi;Cara akses absensi;adakah cara melakukan absensi?;Dimana saya melakukan absensi?,Anda dapat melakukan absensi dengan memanfaatkan fitur “Absensi Siswa”,,,,
Bagaimana cara melihat Jadwal tes ?,Bagaimana cara melihat Jadwal tes?;Cara melihat jadwal tes?;jadwal tes;jadwal ujian;dimana saya melihat jadwal tes;Melihat jadwal tes;melihat jadwal ujian;Apakah bisa saya mengakses jadwal tes?;,Anda dapat melihat Jadwal tes pada menu “Jadwal Tes”,,,,
Bagaimana cara melihat daftar hasil penilaian tes ?,Bagaimana cara melihat daftar hasil penilaian tes?;Cara melihat daftar hasil penilaian tes;cara melihat hasil penilaian;cara melihat hasil peniliaian tes;daftar hasil penilaian tes;kapan hasil penilaian tes keluar?;,Anda dapat melihat hasil penilaian tes pada menu “Hasil Tes”,,,,
Bagaimana cara melihat penilaian akademik siswa ?,Bagaimana cara melihat penilaian akademik siswa?;cara melihat penilaian akademik siswa?;Penilaian akademik siswa;kapan saya melihat hasil penilaian akademik?;bagaimana hasil dari penilaian akademik saya?;,Anda dapat melihat hasil penilaian akademik pada menu “Penilaian Akademik Siswa”,,,,
Bagaimana cara melihat penilaian evaluasi siswa ?,Bagaimana cara melihat penilaian evaluasi siswa?;cara melihat penilaian evaluasi siswa?;Penilaian evaluasi siswa?;kapan saya bisa melihat hasil penilaian evaluasi siswa?;bagaimana hasil dari penilaian akademik siswa?;,Anda dapat melihat penilaian evaluasi siswa pada menu “Penilaian Evaluasi Siswa”,,,,
Bagaimana cara meilihat penilaian akhir siswa ?,Bagaimana cara melihat penilaian akhir siswa?;cara meilihat penilaian akhir siswa?;Penilaian akhir siswa?;melihat nilai akhir siswa;hasil penilaian akhir siswa;bagaimana cara melihat hasil nilai akhir saya;,Anda dapat melihat penilaian akhir siswa pada menu “Penilaian Akhir Siswa”,,,,
"Bagaimana cara melakukan penilaian terhadap penceramah, WI, Penyelenggara ?","Bagaimana cara melakukan penilaian terhadap penceramah, WI, Penyelenggara?;cara melakukan penilaian terhadap penceramah, WI, Penyelenggara?;Menilai Penceramah, WI, Penyelenggara;Nilai Penceramah, WI, Penyelenggara;","Anda dapat melakukan penilaian terhadap penceramah, WI, Penyelenggara dengan menggunakan fitur “Penilaian Evaluasi Penceramah, WI, Penyelenggara”",,,,
Bagaimana cara melihat sertifikat kelulusan ?,Bagaimana cara melihat sertifikat kelulusan?;cara melihat sertifikat kelulusan?;dimana saya bisa melihat sertifikat kelulusan?;lihat sertifikat kelulusan; bagaimana saya mengakses sertifikat kelulusan saya;,Anda dapat melihat sertifikat kelulusan pada menu “Sertifikat Kelulusan”,,,,
Bagaimana jika sertifikat kelulusan tidak muncul ?,Bagaimana jika sertifikat kelulusan tidak muncul?;sertifikat kelulusan saya tidak muncul?;Dimana saya bisa menadapatkan sertifikat saya apabila tidak muncul?;sertifikat kelulusan tidak muncul;kenapa sertifikat kelulusan saya tidak muncul?,Anda dapat mengajukan pertanyaan dengan menggunakan fitur “Livechat”,,,,
Apa arti Lambang Pusdiklat Jemenhan,Apa arti Lambang Pusdiklat Jemenhan?;Arti dari lambang Pusdiklat Jemenhan?;Makna lambang Pusdiklat Jemenhan adalah?;Dasar hukum dari pembentukan lambang pusdiklat jemenhan?;Apakah Lambang Pusdiklat Jemenhan memiliki arti?;,"berdasarkan Keputusan Kabadiklat Dephan Nomor : Kep/61/XII/2003 tanggal 3 Desember 2003. motto pada lambang tersebut adalah “TATAWIDYA WICAKSANA ABHIPRAYA” yang memiliki arti bahwa Pusdiklat Jemenhan senantiasa berupaya menata/menyusun ilmu-ilmu manajemen untuk pertahanan dan akan diberikan kepada peserta didik, dengan harapan, agar menjadi orang bijak dalam melaksanakan tugas.",,,,
"Kapan Hymne, Mars. Hymne dan Mars Pusdiklat Jemenhan diciptakan","Kapan Hymne, Mars. Hymne dan Mars Pusdiklat Jemenhan diciptakan?;Hymne, Mars. Hymne dan Mars Pusdiklat Jemenhan diciptakan?;Siapa Pencipta Hymne Pusdiklat Jemenhan?;kapan diciptakannya Mars Pusdiklat Jemenhan?;Hymne dan Mars Pusdiklat Jemenhan;","Hymne dan Mars. Hymne dan Mars Pusdiklat Jemenhan disosialisasikan pada tahun 1986. Inspirator Hymne dan Mars tersebut adalah Marsma TNI Billy Tunas, M.Sc., diaransemen dan disyairkan oleh R. Abas Suhardjo.",,,,
Apa makna Hymne Pusdiklat Jemenhan,Apa makna Hymne Pusdiklat Jemenhan?;makna Hymne Pusdiklat Jemenhan?;Hymne Pusdiklat Jemenhan maknanya apa?;apa arti dari Hymne Pusdiklat Jemenhan?;Apakah arti dari Hymne Pusdiklat Jemenhan?,"Makna Hymne adalah mengajak kita semua untuk mengabdi, mengembangkan ilmu pengetahuan, meningkatkan profesionalisme pertahanan berdasarkan Pancasila dan UUD 1945.",,,,
Apa makna Mars Pusdiklat Jemenhan,Apa makna Mars Pusdiklat Jemenhan?;Makna Mars Pusdiklat Jemenhan?;Mars Pusdiklat Jemenhan maknanya apa?;apa arti dari Mars Pusdiklat Jemenhan?;Apakah ada makna dari Mars Pusdiklat Jemenhan?,"Makna Mars adalah mengajak kita semua untuk mencintai kedamaian dan kemerdekaan, mengembangkan manajemen sumber daya pertahanan agar dikelola secara terpadu demi keutuhan NKRI.",,,,
Bagaimana perkembangan Organisasi Pusdiklat Jemenhan,Bagaimana perkembangan Organisasi Pusdiklat Jemenhan?;Kronologi perkembangan Organisasi Pusdiklat Jemenhan;Kapan Organisasi Pusdiklat Jemenhan dibentuk?;Dasar hukum pembentukan Organisasi Pusdiklat Jemenhan;Perkembangan Organisasi Pusdiklat Jemenhan;Kapan Organisasi Pusdiklat Jemenhan didirikan?;Tujuan dari pembentukan Organisasi Pusdiklat Jemenhan?;,"1) Lembaga Manajemen Hankam (1974 – 1985) merupakan Badan Pelaksana Pusat di tingkat Departemen, sebagai bagian dari Sekolah dan Komando (Sesko) ABRI.
 2) Sekolah Staf Manajemen Hankam (1985 – 1991) merupakan Unit Pelaksana Teknis (UPT) Pusat Pendidikan dan Pelatihan Dephankam (Keputusan Menhankam Nomor: KEP/026/IX/1985 tanggal 9 September 1985 tentang Organisasi dan Tata Kerja Sekolah Staf dan Manajemen Pertahanan dan Keamanan).
 3) Pusat Manajemen Pertahanan Keamanan (1991 – 2000) merupakan unsur pelaksana Dephankam (Keputusan Menhankam Nomor: KEP/09/VII/1991 tanggal 10 Juli 1991 tentang Organisasi dan Tata Kerja Pusjemen Hankam).
 4) Pusat Pendidikan dan Pelatihan Manajemen Pertahanan (2000 – sekarang) merupakan Unit Pelaksana yang berada di bawah Badan Diklat Dephan (Peraturan Menhan Nomor: PER/01/M/VIII/2005 tanggal 25 Agustus 2005 tentang Susunan Organisasi dan Tata Kerja Departemen Pertahanan merivisi Keputusan Menhan Nomor: KEP/19/M/XII/2000 tanggal 29 Desember 2000).",,,,
Daftar Pimpinan Pusdiklat Jemenhan,Daftar Pimpinan Pusdiklat Jemenhan; Siapa saja Pimpinan Pusdiklat Jemenhan dari masa ke masa?;Jabatan Pimpinan Pusdiklat Jemenhan;Bagaimana saya dapat melihat Daftar Pimpinan Pusdiklat Jemenhan?;Pimpinan Pusdiklat Jemenhan;,"1) Mayjen TNI Drs. Laupase Malau (28 Oktober 1974 s.d. 4 Oktober 1977) sebagai Dir Lemjemen Hankam.
 2) Mayjen TNI Drs. Abdul Kadir (4 Oktober 1977 s.d. 21 Maret 1980) sebagai Dir Lemjemen Hankam.
 3) Mayjen TNI Muhartono (21 Maret 1980 s.d. 1 Desember 1984) sebagai Dir lemjemen Hankam.
 4) Kolonel Czi Sumarto (1 Desember 1984 s.d. 1 September 1985) sebagai Dir Lemjemen Hankam.
 5) Brigjen TNI Ir. Suratman (1 September 1985 s.d. 8 Juni 1988) sebagai Dir Lemjemen Hankam / Kasesjemen Hankam.
 6) Brigjen TNI Drs. J. D. Prasanto, B.Sc. (8 Juni 1988 s.d. 1 Februari 1992) sebagai Kasesjemen Hankam/Kapusjemen Hankam.
 7) Marsma TNI Drs. Hartun Sunjata, M.Sc. (1 Februari 1992 s.d. 18 Mei 1993) sebagai Kapusjemen Hankam.
 8) Marsma TNI Drs. Billy Tunas, M.Sc. (18 Mei 1993 s.d. 15 september 1998) sebagai Kapusjemen Hankam.
 9) Marsma TNI Gatot Pandji Pralebda, M.Sc. (15 September 1998 s.d. 15 Juni 2001) sebagai Kapusjemen Hankam/Kapusdiklat Jemenhan.
 10) Marsma TNI Martono Kunarso, S.IP., M.M. (16 Juni 2001 s.d. 1 Juli 2003) sebagai Kapusdiklat Jemenhan.
 11) Marsma TNI Soekanari s., SE., S.IP, M.M., MBA (1 Juli 2003 s.d. 23 Juni 2006 ) sebagai Kapusdiklat Jemenhan.
 12) Marsma TNI Budhi Sanyoto, M.Kom., M.M. (23 Juni 2006 s.d. 28 Mei 2008) sebagai Kapusdiklat Jemenhan.
 13) Laksma TNI Ir. Bambang Dwi Nirbito, M.M. (28 Mei 2008 s.d. 01 April 2010) sebagai Kapusdiklat Jemenhan.
 14) Laksma TNI Adam Suwardi Pangerang (01 April 2010 s.d. 01 Desember 2011) sebagai Kapusdiklat Jemenhan.
 15) Laksamana TNI Ir. Sudibyo ( 01 Desember 2011 s.d. 29 April 2013) sebagai Kapusdiklat Jemenhan.
 16) Brigjen TNI Soebroto, S.Ip., M.M. (29 April 2013 s.d. 2 Desember 2014) sebagai Kapusdiklat Jemenhan.
 17) Brigjen TNI Drs. Jan Pieter Ate, M.Bus (3 Desember 2014 s.d. Juni 2015) sebagai Kapusdiklat Jemenhan.
 18) Brigjen TNI Aris Martanto (10 Juni 2015 s.d. sekarang)",,,,
Bagaimana Struktur Organisasi Pusdiklat Jemenhan,Bagaimana Struktur Organisasi Pusdiklat Jemenhan?;Struktur Organisasi Pusdiklat Jemenhan;Unit kerja dalam Organisasi Pusdiklat Jemenhan?;Bagian apa saja yang terdapat dalam Organisasi Pusdikat Jemengan;Pusdiklat Jemenhan terdiri atas?;,"Pusdiklat Jemenhan terdiri atas
 a. Bidang Perencanaan Pendidikan dan Pelatihan;
 b. Bidang Operasi Pendidikan dan Pelatihan;
 c. Bidang Evaluasi dan Peningkatan Mutu Pendidikan dan
 Pelatihan;
 d. Subbagian Tata Usaha; dan
 e. Kelompok Jabatan Fungsional",,,,
Fungsi Pusdiklat Jemenhan,Fungsi Pusdiklat Jemenhan; Apa saja Fungsi Pusdiklat Jemenhan?; Apa saja yang menjadi lingkup kerja Fungsi Pusdiklat Jemenhan;Tugas dan Fungsi Pusdiklat Jemenhan;Daftar fungsi dari pusdiklat jemenhan;Apa tugas dari Pusdiklat Jemenhan?;Tupoksi Pusdiklat Jemenhan,"1. Penyiapan rumusan kebijakan dan standarisasi teknis pendidikan dan pelatihan di bidang manajemen pertahanan dan di bidang sistem pertahanan semesta;
 2. Penyusunan rencana dan program diklat manajemen pertahanan dan diklat kader sistem pertahanan semesta;
 3. Pelaksanaan dan evaluasi administrasi pendidikan dan pelatihan, akreditasi dan sertifikasi;
 4. Pelaksanaan program pendidikan dan pelatihan staf manajemen pertahanan, fungsi manajemen pertahanan dan kajian strategi manajemen pertahanan serta evaluasi dan pelaporan;
 5. Membina kelompok jabatan fungsional;
 6. Pemberian supervisi bagi pejabat fungsional tertentu;
 7. Pengelolaan ketatausahaan dan kerumahtanggaan Pusdiklat.",,,,
Bagaimana cara mengajukan cuti?,cara mengajukan cuti,Anda dapat mengajukan cuti melalui fitur Pengajuan Cuti dan mengikuti panduan yang tersedia.,,,,
Bagaimana cara memperpanjang masa cuti?,cara memperpanjang masa cuti?,Anda dapat memperpanjang masa cuti dengan menghubungi bagian kepegawaian dan mengikuti prosedur yang ditetapkan.,,,,
Bagaimana mengajukan klaim tunjangan kesehatan?,mengajukan klaim tunjangan kesehatan?,Anda dapat mengajukan klaim tunjangan kesehatan melalui asuransi kesehatan yang telah disediakan oleh instansi.,,,,
Apa saja jenis program pelatihan yang ditawarkan?,jenis program pelatihan yang ditawarkan?,"Pusat Manajemen Pertahanan menawarkan berbagai program pelatihan seperti manajemen, keamanan siber, strategi pertahanan, dan masih banyak lagi.",,,,
Bagaimana cara mendaftar program pelatihan?,Bagaimana cara mendaftar program pelatihan?,"Anda dapat mendaftar program pelatihan melalui fitur ""Pendaftaran Diklat"" dan mengisi formulir yang diperlukan.",,,,
Apa syarat utama untuk mengikuti diklat?,Apa syarat utama untuk mengikuti diklat?,Syarat utama untuk mengikuti diklat meliputi memiliki status sebagai pegawai instansi terkait dan memenuhi persyaratan yang ditentukan oleh Pusat Manajemen Pertahanan.,,,,
Apa syarat untuk mendapatkan tunjangan keluarga?,Apa syarat untuk mendapatkan tunjangan keluarga?,Syarat untuk mendapatkan tunjangan keluarga antara lain adalah memiliki status sebagai pegawai tetap dan memiliki anggota keluarga yang memenuhi kriteria.,,,,
Bagaimana cara mengunduh sertifikat pelatihan?,Bagaimana cara mengunduh sertifikat pelatihan?,Anda dapat mengunduh sertifikat pelatihan melalui akun pribadi Anda di platform kami setelah menyelesaikan pelatihan tersebut.,,,,
Apa saja jenis-jenis izin yang dapat diajukan?,Apa saja jenis-jenis izin yang dapat diajukan?,"Beberapa jenis izin yang dapat diajukan antara lain izin sakit, izin cuti, izin hamil, izin melahirkan, dan izin menikah.",,,,
Bagaimana cara memperpanjang masa izin?,Bagaimana cara memperpanjang masa izin?,Anda dapat memperpanjang masa izin dengan mengajukan permohonan perpanjangan izin kepada bagian HRD dan melampirkan alasan yang jelas.,,,,
Bagaimana cara melihat jadwal rapat bulan ini?,Bagaimana cara melihat jadwal rapat bulan ini?,Anda dapat melihat jadwal rapat bulan ini melalui kalender yang tersedia di platform internal perusahaan.,,,,
Bagaimana cara mengajukan pengunduran diri?,Bagaimana cara mengajukan pengunduran diri?,Anda dapat mengajukan pengunduran diri dengan menyerahkan surat pengunduran diri kepada atasan Anda dan bagian HRD.,,,,
Bagaimana cara mendaftar program pelatihan baru?,Bagaimana cara mendaftar program pelatihan baru?,Anda dapat mendaftar program pelatihan baru melalui platform pelatihan kami dengan mengisi formulir pendaftaran dan mengikuti petunjuk selanjutnya.,,,,
Apa kebijakan perusahaan tentang remote work?,Apa kebijakan perusahaan tentang remote work?,Kebijakan perusahaan tentang remote work akan tergantung pada kebijakan internal perusahaan dan dapat bervariasi.,,,,
Bagaimana cara mengajukan permintaan peralatan kerja baru?,Bagaimana cara mengajukan permintaan peralatan kerja baru?,Anda dapat mengajukan permintaan peralatan kerja baru dengan mengisi formulir permintaan yang tersedia dan menjelaskan alasan mengapa diperlukan.,,,,
Bagaimana cara melaporkan masalah teknis pada sistem?,Bagaimana cara melaporkan masalah teknis pada sistem?,Anda dapat melaporkan masalah teknis pada sistem melalui helpdesk IT yang ada di perusahaan atau menghubungi bagian teknis yang bertanggung jawab.,,,,
Bagaimana cara mengajukan klaim asuransi kesehatan?,Bagaimana cara mengajukan klaim asuransi kesehatan?,Anda dapat mengajukan klaim asuransi kesehatan dengan menghubungi pihak asuransi dan mengikuti prosedur yang telah ditentukan.,,,,
Bagaimana cara meminta persetujuan cuti dari atasan?,Bagaimana cara meminta persetujuan cuti dari atasan?,Anda dapat meminta persetujuan cuti dari atasan dengan mengajukan permohonan cuti dan menunggu persetujuan serta petunjuk selanjutnya.,,,,
Bagaimana cara mengakses platform pelatihan?,Bagaimana cara mengakses platform pelatihan?,Anda dapat mengakses platform pelatihan melalui tautan yang telah disediakan oleh bagian HRD atau IT perusahaan.,,,,
Apa langkah-langkah untuk menjadi anggota klub olahraga perusahaan?,Apa langkah-langkah untuk menjadi anggota klub olahraga perusahaan?,Langkah-langkah untuk menjadi anggota klub olahraga perusahaan antara lain mengisi formulir pendaftaran dan membayar biaya keanggotaan sesuai petunjuk.,,,,
Bagaimana cara melaporkan pelecehan di tempat kerja?,Bagaimana cara melaporkan pelecehan di tempat kerja?,"Anda dapat melaporkan pelecehan di tempat kerja kepada atasan Anda, departemen HRD, atau menggunakan saluran pelaporan yang telah ditentukan.",,,,
Bagaimana prosedur penggantian kartu akses kantor?,Bagaimana prosedur penggantian kartu akses kantor?,"Proses penggantian kartu akses kantor melibatkan langkah-langkah seperti menghubungi bagian keamanan, mengisi formulir penggantian, dan mengikuti verifikasi.",,,,
Apa manfaat dari program magang di perusahaan?,Apa manfaat dari program magang di perusahaan?,"Program magang di perusahaan dapat memberikan pengalaman praktis, pelatihan keterampilan, dan peluang untuk berkolaborasi dengan tim profesional.",,,,
Bagaimana cara mengajukan permohonan cuti hamil?,Bagaimana cara mengajukan permohonan cuti hamil?,Anda dapat mengajukan permohonan cuti hamil dengan mengisi formulir cuti dan melampirkan surat keterangan dari dokter yang merawat.,,,,
Bagaimana perusahaan mendukung pengembangan karyawan?,Bagaimana perusahaan mendukung pengembangan karyawan?,"Perusahaan mendukung pengembangan karyawan melalui program pelatihan, kursus, workshop, dan kesempatan untuk mengambil tanggung jawab baru.",,,,
Bagaimana cara mengajukan izin pulang lebih awal?,Bagaimana cara mengajukan izin pulang lebih awal?,Anda dapat mengajukan izin pulang lebih awal dengan memberi tahu atasan Anda dan mengisi formulir izin sesuai prosedur perusahaan.,,,,
